,num_runs,orders,participantID
0,0,1-2-3,0
1,1,5-4-1,0
2,2,5-4-1,0
3,1,1-2-6,0
4,0,,0
5,1,3-2-1,0
6,0,,0
7,0,,0
8,3,,0
9,4,,0
10,5,,0
11,3,,0
12,1,3-5-2,0
13,2,3-5-2,0
14,3,,0
15,1,1-2-6,0
16,2,,0
17,1,4-1-3,2
18,2,4-1-3,2
19,3,,2
20,4,,2
21,5,,2
22,1,2-5-4,3
23,2,2-5-4,3
24,3,,3
25,4,,3
26,5,,3
27,1,3-1-2,4
28,2,3-1-2,4
29,3,,4
30,4,,4
31,5,,4
32,1,4-1-3,5
33,2,4-1-3,5
34,3,,5
35,4,,5
36,5,,5
37,1,5-2-1,6
38,2,5-2-1,6
39,3,,6
40,4,,6
41,5,,6
42,1,6-4-2,7
43,2,6-4-2,7
44,3,,7
45,4,,7
46,5,,7
47,1,1-6-4,8
48,2,1-6-4,8
49,3,,8
50,4,,8
51,5,,8
52,1,5-1-2,9
53,2,5-1-2,9
54,3,,9
55,4,,9
56,5,,9
57,1,6-4-1,10
58,2,6-4-1,10
59,3,,10
60,4,,10
61,5,,10
62,1,1-3-5,11
63,2,1-3-5,11
64,3,,11
65,4,,11
66,5,,11
67,1,4-6-5,12
68,2,4-6-5,12
69,3,,12
70,4,,12
71,5,,12
72,1,5-3-1,13
73,2,5-3-1,13
74,3,,13
75,4,,13
76,5,,13
77,1,6-1-4,14
78,2,6-1-4,14
79,3,,14
80,4,,14
81,5,,14
82,1,2-3-4,15
83,2,2-3-4,15
84,3,,15
85,4,,15
86,5,,15
87,1,3-6-1,16
88,2,3-6-1,16
89,3,,16
90,4,,16
91,5,,16
92,1,6-4-5,17
93,2,6-4-5,17
94,3,,17
95,4,,17
96,5,,17
97,1,1-5-4,18
98,2,1-5-4,18
99,3,,18
100,4,,18
101,5,,18
